game_id,description,max_playtime,min_age,min_playtime,name,playing_time,year_published,artist,category,designer,family,mechanic,publisher,average_rating,users_rated,range_of_players
73,"The players put together four shows in any order: Queenie, Wolf, King Lear, and Ballet.  To accomplish this, players draft actor cards from a constantly changing queue of cards.  Each card represents actors of varying skills at roles.  Once a player puts together all the needed roles for a show, the value is judged against all the other productions of that type, with points given relative to the other productions.&#10;&#10;This is a Queen Games reprint of the db-Spiele original, Premiere.&#10;&#10;",60,10,60,Show Manager,60,1996,"Jo Hartwig,Reinhard Horst,Oliver Schlemmer",Card,Dirk Henn,Queen Yellow Wave Box Series,"Card Drafting,Set Collection","Queen Games,db-Spiele",7.06054,1474,5-6 Players
77,"EastFront details the conflict between Germany and the Soviet Union during WWII.  Players have to contend with production, supply, command control and whether to try and break the other sides' lines.  Several scenarios cover every major point of the war.  The game comes with a fantastic, detailed map of Eastern Europe and Russia printed on cardstock and many wooden blocks for the units.  This is a standalone game that can also serve as one element of the complete EuroFront series which covers the entire European conflict of WWII.&#10;&#10;This title uses the Columbia Games Block system.  While there are variations in the rule sets, all of the &quot;Front&quot; series of games are based on the block system.  Basically this means that rather than using the traditional  counters to represent units on the map the game uses wooden blocks that stand upright with unit details only shown on one side.  This accomplishes two things:  First it provides an easy way of producing a &quot;fog of war&quot; because your opponent cannot tell, save through good memory or deduction, what type of unit a specific piece is or its current strength.  Second, having the blocks stand on end allows the possibility of rotating a block so the current strength is the top number.  Although most war games have some type of mechanism that lets units to take steps in their overall strength, counters normally have at most two steps because they only have two sides.  Blocks, however, have four so you can easily keep track of twice the amount of detail that many other war games provide.&#10;&#10;With the use of blocks, Columbia has provided a way of adding a good deal of depth to their war games without adding complex layers of bookkeeping, allowing interesting and relatively short sessions of play.&#10;&#10;",240,12,240,EastFront,240,1991,Eric Hotz,"Wargame,World War II","Craig Besinque,Tom Dalgliesh","Block wargames,Columbia Front Series,Country: Russia","Dice Rolling,Secret Unit Deployment,Simulation",Columbia Games,7.6713,626,1-2 Players
78,"WestFront details the conflict between the Allies and  Germany during WWII between 1943-45. Players have to contend with production, supply, command control and the weather to try and break the other sides lines. Additional rules are included for amphibious invasions. Several scenarios cover every major point of the war. The game comes with a fantastic detailed map of Western Europe and Italy printed on card and many wooden blocks for the units. This is one section of the complete EuroFront series that covers the entire European conflict of WWII.&#10;&#10;This title uses Columbia Games Block system. While there are variations in the rule sets for each of their games none the less all of their games are based on block system. Basically this means that rather than the traditional use of counters to represent units on the map the game instead uses wooden blocks that stand upright and with unit details only shown on one side of the blocks. This does two things: First it provides an easy way of producing a &quot;fog of war&quot; because your opponent can not tell, save through good memory, what type of unit a specific piece is and it&rsquo;s current strength. Second, by having the blocks stand on end it provides a way to keep track of a units strength by rotating the block so the current strength is the top number. Most war games have some type of mechanism that lets units take steps in their overall strength. Counters normally have at most two steps because of they only have two sides, however blocks have four and so now you can easily keep track of twice the amount of detail that many other war games provide. With the use of blocks Columbia has provided a way of adding a good deal of depth to their war games without adding further complex layers of bookkeeping and thus allow for interesting and relatively short sessions of play.&#10;&#10;Re-implemented as:&#10;&#10;    WestFront II&#10;&#10;&#10;&#10;&#10;Expanded by:&#10;&#10;    EuroFront&#10;&#10;&#10;&#10;&#10;",240,12,240,WestFront,240,1992,Eric Hotz,"Wargame,World War II",Craig Besinque,"Block wargames,Columbia Front Series","Dice Rolling,Secret Unit Deployment",Columbia Games,6.89085,177,1-2 Players
82,"Bobby Lee covers the eastern theater of the American Civil War around the Virginia area from 1861-1865.  It comes with a beautiful card-stock map of Maryland, Pennsylvania and Eastern Virginia and heaps of wooden blocks for the North and South.  The game utilizes both a strategic layer of the conflict but also provides a slightly more tactical layer of combat with additional battle maps that allow for center, and flank positions of specific units.  The game can be combined with Sam Grant so that both theaters of the Civil War can be played out at the same time.&#10;&#10;This title uses Columbia Games Block system. While there are variations in the rule sets for each of their games none the less all of their games are based on block system. Basically this means that rather than the traditional use of counters to represent units on the map the game instead uses wooden blocks that stand upright and with unit details only shown on one side of the blocks. This does two things: First it provides an easy way of producing a &quot;fog of war&quot; because your opponent can not tell, save through good memory, what type of unit a specific piece is and it&rsquo;s current strength. Second, by having the blocks stand on end it provides a way to keep track of a units strength by rotating the block so the current strength is the top number. Most war games have some type of mechanism that lets units take steps in their overall strength. Counters normally have at most two steps because of they only have two sides, however blocks have four and so now you can easily keep track of twice the amount of detail that many other war games provide. With the use of blocks Columbia has provided a way of adding a good deal of depth to their war games without adding further complex layers of bookkeeping and thus allow for interesting and relatively short sessions of play.&#10;&#10;All artwork and graphics in the game Bobby Lee was created by RPG/Historical artist, Eric Hotz.&#10;&#10;",240,12,240,Bobby Lee,240,1993,Eric Hotz,"American Civil War,Wargame",Tom Dalgliesh,"Block wargames,Crowdfunding: Kickstarter","Dice Rolling,Secret Unit Deployment",Columbia Games,6.83287,297,1-2 Players
83,"Sam Grant covers the western theater of the American Civil War around the Mississippi area from 1862-1864.  It comes with a beautiful card-stock map from Vicksburg to Cincinnati and heaps of wooden blocks for the North and South.  The game utilizes both a strategic layer of the conflict but also provides a slightly more tactical layer of combat with additional battle maps that allow for center, and flank positions of specific units.  The game can be combined with Bobby Lee so that both theaters of the Civil War can be played out at the same time.&#10;&#10;This title uses Columbia Games Block system. While there are variations in the rule sets for each of their games none the less all of their games are based on block system. Basically this means that rather than the traditional use of counters to represent units on the map the game instead uses wooden blocks that stand upright and with unit details only shown on one side of the blocks. This does two things: First it provides an easy way of producing a &quot;fog of war&quot; because your opponent can not tell, save through good memory, what type of unit a specific piece is and it&rsquo;s current strength. Second, by having the blocks stand on end it provides a way to keep track of a units strength by rotating the block so the current strength is the top number. Most war games have some type of mechanism that lets units take steps in their overall strength. Counters normally have at most two steps because of they only have two sides, however blocks have four and so now you can easily keep track of twice the amount of detail that many other war games provide. With the use of blocks Columbia has provided a way of adding a good deal of depth to their war games without adding further complex layers of bookkeeping and thus allow for interesting and relatively short sessions of play.&#10;&#10;All artwork and graphics in the game Sam Grant was created by RPG/Historical artist,  Eric Hotz.&#10;&#10;",180,12,180,Sam Grant,180,1997,Eric Hotz,"American Civil War,Wargame","Tom Dalgliesh,Gary Selkirk",Block wargames,Secret Unit Deployment,Columbia Games,6.43277,119,1-2 Players
84,"Rommel in the Desert is a pre-&quot;Front&quot; game touching on the conflict between the British and Germans in North Africa during WWII. A game of maneuver, each side has to move with precision and know when to strike, since a cut in supply spells disaster for either side. The supply system is card driven. The game comes with a map of North Africa and 100 wooden blocks to represent the British and Germans.&#10;&#10;This title uses Columbia Games Block system. While there are variations in the rule sets for each of their games none the less all of their games are based on block system. Basically this means that rather than the traditional use of counters to represent units on the map the game instead uses wooden blocks that stand upright and with unit details only shown on one side of the blocks. This does two things: First it provides an easy way of producing a &quot;fog of war&quot; because your opponent can not tell, save through good memory, what type of unit a specific piece is and its current strength. Second, by having the blocks stand on end it provides a way to keep track of a units strength by rotating the block so the current strength is the top number. Most war games have some type of mechanism that lets units take steps in their overall strength. Counters normally have at most two steps because of they only have two sides, however blocks have four and so now you can easily keep track of twice the amount of detail that many other war games provide. With the use of blocks Columbia has provided a way of adding a good deal of depth to their war games without adding further complex layers of bookkeeping and thus allow for interesting and relatively short sessions of play.&#10;&#10;",150,12,150,Rommel in the Desert,150,1982,"Ron Gibson,Jody Harmon,Eric Hotz","Wargame,World War II",Craig Besinque,"Block wargames,Desert Theme","Dice Rolling,Secret Unit Deployment","Columbia Games,Game Preserve",7.54068,878,1-2 Players
87,"Victory: The Blocks of War is a Block game published in 1998 by Columbia Games.  It is a generic war game played on modular maps with World War II units.  The game uses a stripped down Front system, with the whole command control element removed and simplified movement and unit production.  Block sets for blue and red players and several maps are included in the base game.&#10;&#10;There are many supplements available, including basic block sets for four additional colors (black, orange, green, and gray), ten-unit elite sets for each color, maps with various terrain, and a logistics expansion which provides a twist on production and adds other strategic elements to the game.&#10;&#10;Expanded by:&#10;&#10;    Victory: The Blocks of War &#226;&#128;&#147; Additional Blocksets&#10;    Victory: The Blocks of War &#226;&#128;&#147; Elite Blocksets&#10;    Victory: The Blocks of War &#226;&#128;&#147; Extra Maps&#10;    Victory: The Blocks of War &#226;&#128;&#147; Logistics Set&#10;&#10;&#10;&#10;&#10;Victory FAQ based on info in the rules forum here and elsewhere.&#10;&#10;",180,12,180,Victory:  The Blocks of War,180,1998,Eric Hotz,"Wargame,World War II","Tom Dalgliesh,Grant Dalgliesh",Block wargames,"Dice Rolling,Hex-and-Counter,Secret Unit Deployment","Columbia Games,Tilsit",6.3167,402,5-6 Players
102,"Uwe Rosenberg seems to have a talent for inventing novel card game systems, and this game helps his reputation.  Some describe it as Bohnanza, the second helping, and in this game about collecting sets of different kinds of jewelry  players do buy cards from each other and play cards out of their hands to complete sets of four.  However, the points awarded for a complete set are adversely affected if multiple sets of similar cards already exist.&#10;&#10;",30,10,30,Klunker,30,1999,"Oliver Moser,Clarissa Schindler",Card,Uwe Rosenberg,Admin: Better Description Needed!,Set Collection,"Hans im Glück Verlags-GmbH,Lookout Games,Rio Grande Games",6.20877,800,5-6 Players
104,"Players take on the role of editors in this older German title, choosing stories of various general types (politics, sports, entertainment, etc.) to run in their respective newspapers.  Two factors determine a story's worth: timing and size.  The timing is relevant because the later in the game the story is run the more points it's potentially worth.  But in this game (as in the real world) size is important, because only the biggest story of any given headline will score.&#10;&#10;",90,14,90,Extrablatt,90,1991,,Strategy,Karl-Heinz Schmiel,,"Area Control / Area Influence,Set Collection,Simulation,Tile Placement",Moskito Spiele,7.04646,246,3-4 Players
109,"Jean du Po&#195;&#171;l put this game out on the market for about a year before the game's name was changed to Wettstreit der Baumeister in 1998.&#10;&#10;This translates to &quot;Contest of the Architects&quot;. The game has a beautiful assortment of large, thick tiles to represent the cities. Players bid on a single building tile every turn, with half the proceeds going to the auctioning player. When a player is ready to start construction of his city, the tiles are laid out in order with the single restriction that not two touching tiles are the same type. The building types are city halls, churches, towers, and gates. When the one of the two draw piles is exhausted, the cities are judged for symmetry, with the highest scoring city winning.&#10;&#10;Rules apply to either game:&#10;&#10;Within two decks of 20 cards are contained the City Wall, Towers and Gates, Churches, City Halls, etc. During play, one of the decks lies face up, the other face down. There are three parts to each player's turn. First, the player rolls a die in an attempt to better his finances (1 to 5 on the die; the sixth side gives a sabotage-counter instead). Second, he alone may look at the top hidden card before he makes an offer on either of the two top cards from the two decks. The other players then bid on the two cards. If the player (the Auctioneer) makes the highest bid, he may take the card and pay the bank. If, on the other hand, one of the other players buys the card, that player pays half the money to the bank and half to the Auctioneer. Third, a player may either build (lay down another card on his city) or sabotage a City Card of another player. The player receiving the sabotage must then pay the value of the card or remove it.&#10;&#10;The game ends when either of the decks is depleted.&#10;&#10;",45,10,45,Wettstreit der Baumeister,45,1994,Claus Stephan,Strategy,Jean du Poël,,Auction/Bidding,"Historien Spiele Galerie (Historien Spielegalerie),KOSMOS,Tilsit",6.11431,359,3-4 Players
113,"This trick-taking game has quite a few twists.  Those accustomed to the genre will be particularly thrown off by two aspects: players don't have to follow suit, and the loser of a trick leads the next trick.  Those features, along with an unusual scoring system (you want to be really strong in two suits and really weak in the other two) and the fact that the winner of a trick gets to choose which cards to take, combine to create a very unusual game..&#10;&#10;",60,10,60,Mit List und Tücke,60,1999,,Card,Klaus Palesch,,Trick-taking,Berliner Spielkarten,6.61422,204,5-6 Players
117,"In Ta Y&uuml;, a game of connections, one side tries to extend from the starting tile in the center to reach the western and eastern edges of the board while the opposing side tries to reach the northern and southern edges.  On your turn you simply draw a tile and decide where to place it, extending the network of tiles already on the board.&#10;&#10;Several refinements make this simple proposition into an engrossing game.  First, each tile is 3x1 (to be played on a 19x19 board) and has exactly three outlets (potential connection points). Second, your score is not simply the number of spots you've reached on one edge added to the number of spots you've reached on the other, but is the product of those two numbers.  So you can't just concentrate on one side and ignore the other, because zero times anything is still zero.  Third, on each side of the board there are three special points which score double if reached, adding a dab of focus to the choices.&#10;&#10;Interestingly, you need to play both offense and defense and will often have to decide to which use to put a particular tile.&#10;&#10;",45,10,30,Ta Yü,45,1999,"Anke Pohl,Thilo Rick,Claus Stephan",Strategy,Niek Neuwahl,"Asian Theme,Connection Games","Partnerships,Pattern Building,Route/Network Building,Tile Placement","Crown & Andrews Ltd.,Goliath B.V.,KOSMOS,Rio Grande Games",6.99002,1263,3-4 Players
125,"The object of this Reiner Knizia card game is to collect as many of one type of currency as possible.  Players bid cards from their hands to exchange for 'lots' of cards, with the order being determined by whoever put out the highest valued cards.  The cards themselves are renditions of currencies from around the world.&#10;&#10;",30,10,30,Money!,30,1999,"Paul Niemeyer,Marek Szyszko,Franz Vohwinkel",Card,Reiner Knizia,"Goldsieber à la Carte,Gryphon Games bookshelf series","Auction/Bidding,Set Collection,Simultaneous Action Selection","Eagle-Gryphon Games,Egmont Polska,Goldsieber Spiele,Rio Grande Games,Wargames Club Publishing",6.56467,2396,5-6 Players
142,"Players compete with each other to own vineyards in Italy.  Each vineyard may be used to grow certain types of grapes, and players make money by selling grapes on the open market.  Through careful manipulation of the market and the domination of vineyards in each province, the player with the most vineyards wins the game.&#10;&#10;1st Place 1994 Hippodice Spieleautorenwettbewerb (as Das Spiel der Weinberge).&#10;&#10;",90,12,90,Vino,90,1999,Franz Vohwinkel,Economic,Christwart Conrad,"Admin: Better Description Needed!,Wine Games","Area Control / Area Influence,Commodity Speculation,Simultaneous Action Selection","Goldsieber Spiele,Rio Grande Games",6.47906,639,5-6 Players
146,"Another of Reiner Knizia's fleet of games, this one is about making profits by buying and selling business stock. Players use cards to manipulate the price of three types of stocks (oil, technology, and retail), and the buying and selling of the stocks is pretty severely limited. Short and sweet, this game is both elegant and abstract.  In a change from the original version, the three stocks have different levels of volatility.  Technology is the most volatile, oil is the least volatile but with higher dividends, and retail falls in the middle.&#10;&#10;The original version of this game, Palmyra, was based around three trade routes which were represented by wooden amphoras.&#10;&#10;",45,10,45,Buy Low Sell High,45,1996,"Miles Germer,Alvin Madden",Economic,Reiner Knizia,,Commodity Speculation,"Editrice Giochi,Überplay,Wargames Club Publishing",6.1628,825,3-4 Players
153,"Relying heavily on his previous effort, 6 Nimmt!, Wolfgang Kramer has transformed it into a more strategic game.  The deck is numbered from 1 to 98, with some of the cards having green bullheads and others having red bullheads.  In this game greens are positive points and reds are negative points.  As in 6 Nimmt!, players are constructing sets of cards, with the fifth card in a set taking the whole thing.  This time, however, players take their turns sequentially and can play one to three cards from their hands.&#10;&#10;In a confusing twist, the Dutch edition of 6 Nimmt! is called Take 5! but is the progenitor game, not this game.&#10;&#10;",60,10,60,Take 5!,60,1998,Franz Vohwinkel,Card,Wolfgang Kramer,"6 nimmt!,Animals: Cattle","Hand Management,Set Collection","999 Games,AMIGO Spiel + Freizeit GmbH",6.42598,1414,5-6 Players
174,"Many regard this game as a trick-taking game, however that would be a very liberal interpretation of trick-taking.  Players are each given an equal set of cards, which they randomly pick a hand of seven.  Each hand one suit is a trump suit, and one suit is a non-trump suit.  Players place one of their cards in front of themselves, and this continues until the hand ends.  At that time, the top card on their piles are compared and the best card picks his reward first, and the remaining reward going to the second place.  The reward cards give players points, and the highest total at the end of the game wins.&#10;&#10;",45,10,45,T-Rex,45,1999,Marcel-André Casasola Merkle,Card,"Hanno Kuhn,Wilfried Kuhn",Animals: Dinosaurs,"Hand Management,Set Collection,Trick-taking","Hans im Glück Verlags-GmbH,Rio Grande Games",5.52782,248,5-6 Players
178,"In this strange little game, players take the roles of a gardener protecting his lawn and a mole digging it up.  The gardener must try to block the mole's moves and fence him in quickly, while the mole must dig as many holes as possible before being caught.&#10;&#10;Essentially, the mole may move any direction, horizontally or diagonally from square to square, while the gardener places boundary sticks down along the edges of the square, which the mole may not cross.  The mole and gardener may either move or place down a boundary stick, and move alternately.  Eventually, the gardener will hem the mole in completely and the round is over.  In addition, if the mole can move into flower beds, extra points are scored.  By moving to the center, the mole may also tunnel deeply to any selected square on the board, thus escaping the (by then) rapidly closing trap of boundary sticks.  Depending on how many moves this took, more or less points are earned by the mole.&#10;&#10;Once points are totaled up, the roles are reversed and another round is played.  The winner is the player who scored the most points as the mole.&#10;&#10;",15,8,15,Mole Hill,15,1997,Néstor Romeral Andrés,Strategy,Reiner Knizia,Animals: Moles,"Area Enclosure,Variable Player Powers","Användbart Litet Företag,Blatz,nestorgames",5.94555,191,1-2 Players
186,"Newer version of SPLIT is now available. Publisher is GDC-GameDevCo Ltd. The game still features the patented SPLIT half cards and looks much better than the original (design wise) and seems to have some adjustments to the rules.&#10;&#10;In this surprisingly solid offering from Hasbro, players use cards to take actions on a board.  The cards depict halves of a standard deck of cards, and players attempt to match the halves with those next to the board.  Depending on the quality of the match (perfect, strong, weak), the action is likewise powerful or weak.  The object of the game is to place a series of your markers in a continuous line across the board.  Also the game is scalable for two to six players, with four through six using partners to keep the action interesting.&#10;&#10;Re-implemented as:&#10;&#10;    Split (Revised Edition)&#10;&#10;&#10;&#10;&#10;",30,12,30,Split,30,1999,,Card,David Hoyt,,"Partnerships,Pattern Building,Point to Point Movement","GDC-GameDevCo Ltd.,Hasbro",5.81686,157,5-6 Players
190,"Players are socialites who are trying to take as many high-value luxuries as they can manage.  A number of luxuries (boats, mansions, watches, boats, etc.) of values varying from one million to seven million are laid out in a matrix.  Players take turn placing power cards in the columns, and after five of the six cards have been played, the highest bid takes the first luxury in the column, the second highest gets the next one up, and so on.  However, if you collect a second luxury item you already own, then the newest one replaces the older one, which could mean exchanging a lavish seven million dollar car for a paltry one million dollar one!  After the specified number of rounds, the highest valued collection is deemed the best.&#10;&#10;",30,10,30,Dolce Vita,30,1999,Doris Matthäus,Card,Reiner Stockhausen,,Auction/Bidding,Hans im Glück Verlags-GmbH,6.15628,183,5-6 Players
192,"This warped but fun card game is more intense than it first appears to be.  Players try to collect points in four different suits, but along the way points can be made negative instead of positive or even canceled entirely by taking one of the 'Nicht die Bohne' cards.  With its interesting trading mechanism, this game can be a little hard to grasp at first, but it's worth the effort.  A note to the wise: although this game shares a common theme of beans (Bohnen) with Bohnanza, that's about the only similarity.&#10;&#10;",45,10,45,Nicht die Bohne!,45,1999,"Björn Pertoft,Thomas Vuarchex,Zhong Zhun",Card,Horst-Rainer Rösner,,"Simultaneous Action Selection,Trading","AMIGO Spiel + Freizeit GmbH,Korea Boardgames co., Ltd.,Lifestyle Boardgames Ltd,Oya",6.3659,881,5-6 Players
